time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-13T02:08:02.620Z,-19.9839,-69.3564,108.04,5.2,mww,,75,0.246,1.11,us,us60008eru,2020-03-13T14:39:32.040Z,"86km ENE of Iquique, Chile",earthquake,5.8,3.7,0.054,33,reviewed,us,us
2020-03-13T00:34:14.951Z,56.412,-148.7424,22.9,2.5,ml,,,,0.62,ak,ak0203cqfpif,2020-03-13T18:53:51.205Z,"269km ESE of Kodiak, Alaska",earthquake,,2.8,,,reviewed,ak,ak
2020-03-12T23:44:28.927Z,-22.1711,-67.4751,205.58,4.3,mb,,52,1.013,0.98,us,us60008eqr,2020-03-13T04:18:17.040Z,"112km NE of San Pedro de Atacama, Chile",earthquake,4.4,14.9,0.201,7,reviewed,us,us
2020-03-12T23:00:50.507Z,67.171,-146.4926,22.6,2.5,ml,,,,0.6,ak,ak0203bge2dx,2020-03-13T00:45:22.040Z,"88km NW of Fort Yukon, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-03-12T22:35:32.720Z,17.8451,-66.8601,4,2.63,md,8,255,0.1314,0.19,pr,pr2020072023,2020-03-13T02:21:15.601Z,"14km SSE of Guanica, Puerto Rico",earthquake,1.08,0.71,0.33,5,reviewed,pr,pr
2020-03-12T22:00:47.919Z,14.6765,119.122,10,5.2,mww,,29,8.307,0.72,us,us60008epc,2020-03-13T04:35:03.040Z,"107km WSW of San Nicolas, Philippines",earthquake,7.2,1.8,0.08,15,reviewed,us,us
2020-03-12T20:50:56.349Z,56.3439,-149.3042,10,3.8,mb,,202,2.299,0.74,us,us60008elx,2020-03-13T04:53:30.076Z,"247km SE of Kodiak, Alaska",earthquake,8.1,2,0.359,2,reviewed,us,us
2020-03-12T20:36:05.414Z,56.3625,-149.4262,10,3.9,mb,,201,2.236,0.77,us,us60008elg,2020-03-13T04:43:15.295Z,"240km SE of Kodiak, Alaska",earthquake,8.1,2,0.363,2,reviewed,us,us
2020-03-12T19:37:23.414Z,3.6207,125.8218,142.11,4.5,mb,,169,3.223,0.67,us,us60008ejh,2020-03-13T00:18:19.040Z,"201km SSE of Sarangani, Philippines",earthquake,12,9.7,0.14,15,reviewed,us,us
2020-03-12T17:18:46.115Z,37.2698,136.8641,10,5.3,mww,,33,1.294,0.91,us,us60008egj,2020-03-13T22:01:32.347Z,"26km NNW of Nanao, Japan",earthquake,5.4,1.8,0.068,21,reviewed,us,us
2020-03-12T17:13:37.610Z,17.8,-66.9176,9,2.84,md,7,247,0.1793,0.48,pr,pr2020072017,2020-03-13T00:09:59.040Z,"24km S of Guanica, Puerto Rico",earthquake,2.17,1.34,0.32,4,reviewed,pr,pr
2020-03-12T16:20:24.264Z,51.0691,178.7704,23.08,4.3,mb,,188,0.453,0.79,us,us60008eez,2020-03-13T00:22:52.362Z,"99km S of Little Sitkin Island, Alaska",earthquake,5.5,7.4,0.042,156,reviewed,us,us
2020-03-12T15:55:39.530Z,17.9736,-66.7306,7,2.85,md,6,193,0.1423,0.13,pr,pr2020072014,2020-03-12T17:04:14.551Z,"2km SSW of Tallaboa, Puerto Rico",earthquake,1.38,0.4,0.18,3,reviewed,pr,pr
2020-03-12T15:44:02.730Z,32.772,85.4114,10,5,mb,,56,4.947,0.87,us,us60008ecp,2020-03-12T16:03:53.040Z,"126km ENE of Luring, China",earthquake,5.8,1.7,0.068,69,reviewed,us,us
2020-03-12T14:29:12.120Z,17.8113,-66.8886,6,2.65,md,5,269,0.1641,0.09,pr,pr2020072013,2020-03-12T14:53:41.719Z,"17km S of Guanica, Puerto Rico",earthquake,0.95,0.86,0.24,2,reviewed,pr,pr
2020-03-12T14:28:49.665Z,67.3296,-164.0465,6,3.3,ml,,,,0.59,ak,ak0203bb75zp,2020-03-12T18:15:20.248Z,"45km WSW of Noatak, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-03-12T14:25:48.339Z,31.607,-104.6497,5,2.8,ml,,77,0.618,0.96,us,us60008eap,2020-03-12T15:02:20.040Z,"65km NNE of Van Horn, Texas",earthquake,1.8,2,0.066,30,reviewed,us,us
2020-03-12T14:13:44.831Z,67.4231,-163.8201,36.26,2.5,ml,,103,0.723,0.44,us,us60008ebb,2020-03-12T15:06:51.040Z,"40km WSW of Noatak, Alaska",earthquake,3.6,10.1,0.066,30,reviewed,us,us
2020-03-12T13:08:21.330Z,17.9195,-66.9631,10,2.59,ml,8,232,0.1006,0.16,pr,pr2020072012,2020-03-12T15:08:49.040Z,"8km SSW of Guanica, Puerto Rico",earthquake,1,0.85,0,0,reviewed,pr,pr
2020-03-12T12:50:30.336Z,-19.3132,-173.1859,10,5.3,mb,,44,3.088,1.5,us,us60008e9x,2020-03-12T17:07:31.040Z,"111km SE of Neiafu, Tonga",earthquake,10.6,1.7,0.029,405,reviewed,us,us
2020-03-12T11:42:02.518Z,60.1193,-153.3977,155.2,2.5,ml,,,,0.5,ak,ak0203b9hrk1,2020-03-12T11:48:26.124Z,"54km SW of Redoubt Volcano, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-03-12T10:26:01.473Z,64.1065,-22.2155,10,4.6,mb,,100,0.75,1.04,us,us60008e8e,2020-03-12T14:58:21.738Z,"9km W of Alftanes, Iceland",earthquake,4.4,1.9,0.046,141,reviewed,us,us
2020-03-12T09:53:42.140Z,18.6493,-64.41,40,3.4,md,5,349,1.5256,0.31,pr,pr2020072009,2020-03-12T13:38:26.485Z,"33km NE of Road Town, British Virgin Islands",earthquake,7.3,18.77,0.27,2,reviewed,pr,pr
2020-03-12T09:22:41.895Z,-5.8666,149.1482,144.83,4.5,mb,,87,3.434,0.41,us,us60008e7j,2020-03-12T09:48:48.040Z,"58km NW of Kandrian, Papua New Guinea",earthquake,8.7,5.4,0.087,39,reviewed,us,us
2020-03-12T08:03:18.752Z,-8.8683,110.5738,88.31,5.1,mb,,91,0.951,0.91,us,us60008e67,2020-03-12T09:55:31.015Z,"99km S of Wonosari, Indonesia",earthquake,4.8,5.5,0.077,55,reviewed,us,us
2020-03-12T07:27:38.695Z,-27.6325,-13.338,10,4.9,mb,,72,27.974,0.44,us,us60008e5q,2020-03-12T07:50:42.040Z,"Southern Mid-Atlantic Ridge",earthquake,6.7,1.9,0.092,37,reviewed,us,us
2020-03-12T06:31:51.040Z,17.8891,-66.7946,7,2.69,md,6,243,0.1206,0.04,pr,pr2020072007,2020-03-12T10:21:22.533Z,"11km SSE of Indios, Puerto Rico",earthquake,0.73,0.36,0.2,3,reviewed,pr,pr
2020-03-12T05:33:48.623Z,38.7361,-97.033,5,3.5,mb_lg,,96,0.491,0.21,us,us60008e4s,2020-03-13T05:35:24.530Z,"10km NW of Herington, Kansas",earthquake,3.1,2,0.039,167,reviewed,us,us
2020-03-12T05:20:12.878Z,52.6266,158.7653,73.85,4.8,mb,,86,0.403,0.61,us,us60008e4n,2020-03-13T03:39:33.428Z,"41km SE of Vilyuchinsk, Russia",earthquake,8.3,4.5,0.03,344,reviewed,us,us
2020-03-12T04:42:38.180Z,17.983,-67.0366,7,2.96,md,8,197,0.0766,0.11,pr,pr2020072006,2020-03-13T10:38:03.932Z,"3km SSE of La Parguera, Puerto Rico",earthquake,0.99,0.43,0.36,5,reviewed,pr,pr
2020-03-12T03:46:33.372Z,38.4234,-96.8947,13.01,2.6,mb_lg,,97,0.712,0.4,us,us60008e44,2020-03-13T11:46:07.479Z,"13km NE of Marion, Kansas",earthquake,2,8.1,0.069,54,reviewed,us,us
2020-03-12T03:19:27.000Z,18.0203,-66.7796,16,2.53,md,5,163,0.1094,0.1,pr,pr2020072005,2020-03-12T03:30:39.801Z,"1km E of Guayanilla, Puerto Rico",earthquake,2.029,1.46,0.39,5,reviewed,pr,pr
2020-03-12T01:05:57.960Z,18.0061,-66.7355,18,2.63,md,6,185,0.1344,0.05,pr,pr2020072002,2020-03-12T01:38:20.890Z,"2km WNW of Tallaboa, Puerto Rico",earthquake,0.83,0.45,0.23,4,reviewed,pr,pr
2020-03-12T00:04:27.460Z,17.9046,-66.8978,10,2.64,md,7,234,0.0729,0.06,pr,pr2020072000,2020-03-12T00:55:51.654Z,"7km S of Guanica, Puerto Rico",earthquake,0.7,0.48,0.24,4,reviewed,pr,pr
2020-03-11T23:53:09.620Z,17.8933,-66.8411,14,2.73,md,7,238,0.0902,0.14,pr,pr2020071030,2020-03-12T00:29:37.565Z,"10km SSE of Maria Antonia, Puerto Rico",earthquake,1.43,0.83,0.26,5,reviewed,pr,pr
2020-03-11T23:22:37.470Z,17.9098,-66.7513,6,2.61,md,8,240,0.1436,0.07,pr,pr2020071032,2020-03-12T07:25:10.066Z,"5km SW of Tallaboa, Puerto Rico",earthquake,0.8,0.35,0.3,6,reviewed,pr,pr
2020-03-11T21:30:03.464Z,78.0242,1.3676,10,4.6,mb,,44,2.303,0.83,us,us60008e00,2020-03-11T22:18:27.040Z,"Greenland Sea",earthquake,7.4,1.9,0.06,84,reviewed,us,us
2020-03-11T21:16:04.690Z,17.951,-66.8043,16,2.7,md,6,217,0.0787,0.09,pr,pr2020071027,2020-03-11T22:56:28.838Z,"5km SSE of Indios, Puerto Rico",earthquake,1.12,0.54,0.32,4,reviewed,pr,pr
2020-03-11T21:02:17.960Z,36.2495,-117.2528333,2.95,2.72,ml,33,68,0.2703,0.15,ci,ci38391418,2020-03-12T14:42:34.260Z,"40km SSW of Stovepipe Wells, CA",earthquake,0.21,0.78,0.132,134,reviewed,ci,ci
2020-03-11T20:23:36.513Z,45.478,26.4,119.63,4.4,mb,,49,0.32,0.99,us,us60008dxj,2020-03-12T15:53:13.111Z,"1km WSW of Gura Teghii, Romania",earthquake,7.7,5.9,0.19,8,reviewed,us,us
2020-03-11T19:58:44.710Z,17.8766,-66.8626,13,2.64,md,7,244,0.0999,0.07,pr,pr2020071026,2020-03-11T22:54:20.334Z,"11km SSE of Guanica, Puerto Rico",earthquake,0.96,0.3,0.34,3,reviewed,pr,pr
2020-03-11T19:54:10.022Z,-19.2942,-173.1551,10,5.3,mb,,62,19.131,0.84,us,us60008dwq,2020-03-12T16:40:32.040Z,"112km SE of Neiafu, Tonga",earthquake,13.5,1.7,0.033,318,reviewed,us,us
2020-03-11T19:09:31.810Z,17.8891,-66.7478,6,3.32,md,8,248,0.157,0.08,pr,pr2020071024,2020-03-12T17:06:17.946Z,"13km S of Tallaboa, Puerto Rico",earthquake,0.68,0.43,0.23,5,reviewed,pr,pr
2020-03-11T17:47:20.060Z,36.3236667,-120.4181667,14.2,2.63,md,98,57,0.2433,0.22,nc,nc73352900,2020-03-13T05:22:03.182Z,"21km NNW of Coalinga, CA",earthquake,0.22,0.58,0.242,72,reviewed,nc,nc
2020-03-11T17:42:29.440Z,17.9248,-66.9535,4,3.11,md,7,244,0.0897,0.13,pr,pr2020071023,2020-03-11T21:55:53.040Z,"5km SW of Guanica, Puerto Rico",earthquake,0.83,0.59,0.34,4,reviewed,pr,pr
2020-03-11T17:33:19.698Z,50.8624,-173.4295,10,3.1,ml,,243,1.474,0.44,us,us60008e0r,2020-03-12T01:35:46.799Z,"157km SSE of Atka, Alaska",earthquake,3.8,2,0.115,10,reviewed,us,us
2020-03-11T17:21:08.111Z,60.1358,-152.4194,90.9,2.5,ml,,,,0.52,ak,ak02039peizp,2020-03-11T17:37:49.040Z,"41km SSE of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-03-11T17:04:24.820Z,-30.2892,-72.2916,6.26,4.8,mwr,,93,0.684,0.63,us,us60008drk,2020-03-11T17:31:41.040Z,"98km WSW of Coquimbo, Chile",earthquake,4.7,1.9,,,reviewed,us,guc
