nom_empresa,centro_poblado,longitude,latitude,cod_dane,cod_empresa,ano,mes,pnexc,npnexc,remer,stnstr,segciu,fnivel1,castnat,terr,calzesp,tsubest,infra,sumi,exp,total,chrome
ELECTRIFICADORA DEL META S.A. E.S.P.,GRANADA,-73.7057158517,3.5466952856,50313000,600,2021,4,7.28,587.56,24,0,0,546.3,321.77,15.34,0,0,0,0,0,1502.25,1
ELECTRIFICADORA DEL META S.A. E.S.P.,GUAMAL,-73.7699625676,3.88014002777,50318000,600,2021,4,0.13,799.09,1.34,0,0,105.6,96.74,0,0,0,0,0,0,1002.89,1
ELECTRIFICADORA DEL META S.A. E.S.P.,MESETAS,-74.0443712626,3.38325958558,50330000,600,2021,4,0,117.94,155.28,0,0,29.03,102.26,0,0,0,0,0,0,404.51,1
ELECTRIFICADORA DEL CAQUETA S.A. ESP,LA MACARENA,-73.7870674795,2.17821444079,50350000,1032,2021,4,0,310.98,0,249.71,0,0,0,0,0,0,0,0,0,560.69,1
ELECTRIFICADORA DEL META S.A. E.S.P.,URIBE,-74.3515437091,3.23965331351,50370000,600,2021,4,0,97.04,103.36,0,0,16.61,46.28,0,0,0,0,0,0,263.3,1
ELECTRIFICADORA DEL META S.A. E.S.P.,LEJANIAS,-74.0231951223,3.52474093193,50400000,600,2021,4,0.04,151.67,154.3,0,0,76.54,98.76,0,0,0,0,0,0,481.3,1
ELECTRIFICADORA DEL META S.A. E.S.P.,PUERTO GAITAN,-72.083078729,4.314485152,50568000,600,2021,4,12.83,470.61,0,0,0,500.24,111.63,0,0,1.05,0,0,0,1096.36,1
ELECTRIFICADORA DEL META S.A. E.S.P.,PUERTO LOPEZ,-72.9574366102,4.09340699377,50573000,600,2021,4,7.2,540.5,0.48,2.08,0,575.82,108.25,1.89,0,0,0,0,0,1236.23,1
ELECTRIFICADORA DEL META S.A. E.S.P.,PUERTO LLERAS,-73.3738481508,3.27211893514,50577000,600,2021,4,55.73,342.12,225.86,0,0,45.06,132.38,0,0,0,0,0,0,801.15,1
ELECTRIFICADORA DEL META S.A. E.S.P.,PUERTO RICO,-73.2065146907,2.93974329234,50590000,600,2021,4,33.1,67.17,133.87,0,0,66.79,89.37,0,0,0,0,0,0,390.3,1
ELECTRIFICADORA DEL META S.A. E.S.P.,RESTREPO,-73.5646064827,4.26072972714,50606000,600,2021,4,1.81,661.95,0,0,0,232.58,306.15,19.27,0,0,0,0,0,1221.75,1
ELECTRIFICADORA DEL META S.A. E.S.P.,SAN CARLOS DE GUAROA,-73.2414110088,3.71053695717,50680000,600,2021,4,0.04,157.02,0,0,0,196.96,75.19,1.84,0,0,0,0,0,431.06,1
ELECTRIFICADORA DEL META S.A. E.S.P.,SAN JUAN DE ARAMA,-73.8758311729,3.37372791392,50683000,600,2021,4,4.39,191.46,125.72,0,0,142.67,192.26,0,0,0,0,0,0,656.49,1
ELECTRIFICADORA DEL META S.A. E.S.P.,SAN MARTIN,-73.6956173593,3.70188012803,50689000,600,2021,4,17.24,410.43,241.4,0,0,260.33,200.3,0,0,0,0,0,0,1129.7,1
ELECTRIFICADORA DEL META S.A. E.S.P.,VISTAHERMOSA,-73.7510280336,3.1256671671,50711000,600,2021,4,0,258.61,135.76,0,0,55.81,116.14,0.17,0,0,0,0,0,566.49,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,ALTAMIRA,-75.7883602228,2.06371185583,41026000,1014,2021,4,0,194.41,0,0,0,0,0,0,0,0,0,0,0,194.41,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,BARAYA,-75.0544887925,3.15255100755,41078000,1014,2021,4,56.93,1114.8,0,0,0,0,35.28,0,0,0,0,0,0,1207.01,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,CAMPOALEGRE,-75.325759412,2.6868370205,41132000,1014,2021,4,8.75,2420.07,0,0.72,0,0,1908.87,0,0,0,0,0,0,4338.41,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,COLOMBIA,-74.8028152505,3.37697664839,41206000,1014,2021,4,45.94,5260.05,0,0,0,0,19.28,0,0,0,0,0,0,5325.27,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,ELIAS,-75.9380188082,2.01270035981,41244000,1014,2021,4,11.82,227,0,2.15,0,0,0,0,0,0,0,0,0,240.97,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,GARZON,-75.6270510273,2.1964533881,41298000,1014,2021,4,113.91,4292.42,0,0,602.56,720,0,0,0,0,0,0,0,5728.89,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,GIGANTE,-75.5476811212,2.38403102318,41306000,1014,2021,4,129.5,2769.11,0,0,6.47,0,0,0,0,0,0,0,0,2905.08,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,GUADALUPE,-75.7570381788,2.0241600111,41319000,1014,2021,4,1.01,2715.85,0,0,0,0,0,0,0,0,0,0,0,2716.86,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,HOBO,-75.4477305142,2.58082594244,41349000,1014,2021,4,25.74,1424.79,0,0,0,0,85.34,0,0,0,0,0,0,1535.87,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,IQUIRA,-75.6345024698,2.64935228705,41357000,1014,2021,4,9.17,1403.02,0,0,0,0,19.28,0,0,0,0,0,0,1431.47,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,SAN JOSE DE ISNOS,-76.2176399095,1.92947064584,41359000,1014,2021,4,0.77,4129.92,0,182.92,0,0,0,0,0,0,0,0,0,4313.6,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,LA ARGENTINA,-75.9797673085,2.19824600615,41378000,1014,2021,4,0,2267.1,0,0,0,0,0,0,0,0,0,0,0,2267.1,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,LA PLATA,-75.8914521307,2.3896474978,41396000,1014,2021,4,3,4211.62,0,0,0,720,0,0,0,0,0,0,0,4934.62,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,NATAGA,-75.8087812875,2.54535125354,41483000,1014,2021,4,10.49,509.22,0,0,0,0,0,0,0,0,0,0,0,519.71,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,OPORAPA,-75.9951786162,2.02505692943,41503000,1014,2021,4,38.97,969.74,0,1.06,0,0,0,0,0,0,0,0,0,1009.76,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,PAICOL,-75.7729935935,2.44954939456,41518000,1014,2021,4,12.8,658.73,0,0,0,0,0,0,0,0,0,0,0,671.53,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,PALERMO,-75.4348239701,2.88937485898,41524000,1014,2021,4,157.48,6021.89,0,0.72,0,720,1826.55,0,0,0,0,0,0,8726.64,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,PALESTINA,-76.1330745868,1.72344447572,41530000,1014,2021,4,0,1932.77,0,112.89,0,0,0,0,0,0,0,0,0,2045.66,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,PITAL,-75.8040001118,2.26668106868,41548000,1014,2021,4,9.05,905.54,0,0,0,0,0,0,0,0,0,0,0,914.58,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,PITALITO,-76.0490044984,1.85297434352,41551000,1014,2021,4,73.18,6997.92,0,616.34,0,0,0,0,0,0,0,0,0,7687.43,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,RIVERA,-75.258550208,2.77757018071,41615000,1014,2021,4,70.87,1496.37,0,0,0,0,35.21,0,0,0,0,0,0,1602.45,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,SALADOBLANCO,-76.0447691689,1.99319375367,41660000,1014,2021,4,14.5,1339.35,0,6.69,0,0,0,0,0,0,0,0,0,1360.54,1
